loss_values_without_dropout,loss_values_with_dropout
0.1233254075050354,0.12778154015541077
0.10902152955532074,0.12662483751773834
0.07288650423288345,0.12558023631572723
0.04860656335949898,0.12051869928836823
0.04351527988910675,0.10605312138795853
0.04121191427111626,0.09320985525846481
0.03877558559179306,0.08426596969366074
0.0388636514544487,0.07305140793323517
0.037574172019958496,0.07164336740970612
0.03774317726492882,0.071323923766613
0.037237901240587234,0.0627685934305191
0.03573587164282799,0.06179394945502281
0.03428574278950691,0.06338570266962051
0.03431887552142143,0.055936917662620544
0.0334974005818367,0.0605199933052063
0.03210153803229332,0.051882270723581314
0.03201998770236969,0.05448777973651886
0.03173026442527771,0.05039358511567116
0.031737782061100006,0.05512057989835739
0.03144766390323639,0.05752069503068924
0.031098123639822006,0.04770078882575035
0.030764935538172722,0.05207516998052597
0.030418315902352333,0.048692841082811356
0.029589204117655754,0.049181751906871796
0.029076989740133286,0.048995241522789
0.02828145958483219,0.04680553823709488
0.02823847159743309,0.04611673578619957
0.02745502069592476,0.048154424875974655
0.026989348232746124,0.04144565388560295
0.02728922851383686,0.04239055886864662
0.026395626366138458,0.049224529415369034
0.026439709588885307,0.04693768173456192
0.025504475459456444,0.05033087730407715
0.02518724650144577,0.04826192557811737
0.02530532516539097,0.04783535376191139
0.02518652193248272,0.04178423434495926
0.024650663137435913,0.04396462067961693
0.024067293852567673,0.04691389575600624
0.0238560289144516,0.042474180459976196
0.02412566915154457,0.04498879984021187
0.02348354086279869,0.040941428393125534
0.023150919005274773,0.045546263456344604
0.023314470425248146,0.0412156842648983
0.0228927843272686,0.04279800131917
0.02299155481159687,0.04126463830471039
0.0222394447773695,0.04252234101295471
0.022063275799155235,0.039927348494529724
0.022150197997689247,0.041501425206661224
0.02117571048438549,0.045460499823093414
0.021388158202171326,0.03851523622870445
0.02014148235321045,0.03980112820863724
0.020163213834166527,0.03902439400553703
0.0196946132928133,0.04010879248380661
0.01907484233379364,0.04109993949532509
0.018908292055130005,0.0415336936712265
0.01885080337524414,0.04403989389538765
0.01798716001212597,0.041038502007722855
0.019015047699213028,0.03953375667333603
0.018287645652890205,0.04201705753803253
0.01812821254134178,0.04263247922062874
0.018048079684376717,0.0389171801507473
0.017531635239720345,0.03799160197377205
0.017179522663354874,0.042472079396247864
0.01697714813053608,0.04082772880792618
0.017234452068805695,0.0388345830142498
0.016000529751181602,0.037503745406866074
0.01633128710091114,0.035493846982717514
0.01564721018075943,0.04181560128927231
0.015973640605807304,0.04414752125740051
0.015783390030264854,0.03997429087758064
0.015143475495278835,0.041526321321725845
0.014738935977220535,0.035072606056928635
0.014513752423226833,0.036675289273262024
0.01466965489089489,0.03387041389942169
0.014306258410215378,0.04107370972633362
0.014386891387403011,0.03923052176833153
0.014375125989317894,0.039055801928043365
0.013825581409037113,0.03571689873933792
0.01407813560217619,0.03639848530292511
0.013781089335680008,0.03782586380839348
0.014100894331932068,0.036690518260002136
0.014212563633918762,0.0366244800388813
0.013734578154981136,0.03704850375652313
0.014140843413770199,0.0331597775220871
0.013139818795025349,0.03357138857245445
0.013302947394549847,0.041697908192873
0.013048124499619007,0.03711175546050072
0.013483940623700619,0.0327690914273262
0.012743791565299034,0.041018933057785034
0.01303096767514944,0.03980514407157898
0.01263958215713501,0.034640271216630936
0.01223204005509615,0.03651415929198265
0.012479763478040695,0.03962520882487297
0.011900962330400944,0.03591776266694069
0.012606837786734104,0.03610701113939285
0.011587600223720074,0.036845456808805466
0.01275697536766529,0.040479715913534164
0.011645804159343243,0.033296775072813034
0.012035143561661243,0.03723001107573509
0.012306160293519497,0.034068431705236435
0.012040206231176853,0.034111641347408295
0.011298990808427334,0.03599238768219948
0.01198981236666441,0.03434387966990471
0.011423632502555847,0.03417442366480827
0.011107218451797962,0.03886735439300537
0.01105442177504301,0.037574268877506256
0.011418338865041733,0.03681490942835808
0.011569972150027752,0.03594610467553139
0.011377369984984398,0.037149541079998016
0.011500447988510132,0.03304298594594002
0.011516867205500603,0.0342368520796299
0.011106654070317745,0.03469175845384598
0.011570531874895096,0.031635116785764694
0.010744201950728893,0.03540847823023796
0.011230526491999626,0.0354454480111599
0.010902912355959415,0.03131457045674324
0.01124647632241249,0.03562575951218605
0.011179402470588684,0.036862656474113464
0.01048156525939703,0.033588819205760956
0.01082832645624876,0.0343986414372921
0.01074381172657013,0.038013868033885956
0.010963509790599346,0.03227551653981209
0.010409369133412838,0.03496292978525162
0.010500678792595863,0.03548591583967209
0.010524503886699677,0.03577875345945358
0.010403171181678772,0.03304842486977577
0.010551352985203266,0.0318126417696476
0.010602842085063457,0.032353054732084274
0.010446978732943535,0.03566097468137741
0.010527770966291428,0.031160520389676094
0.010139537043869495,0.03460632637143135
